x,y,theta,v,delta,le,mse_le,mae_le,rmse_le,he,mse_he,mae_he,rmse_he
-4.6282000000000005,1.4780999999999997,69.08423281157094,0.05000000074505806,-35.017445334852574,1.7313335985532055,0.000000,0.000000,0.000000,24.08423281157094,0.000000,0.000000,0.000000
-4.60831502462874,1.4868705314118469,68.80096909883162,0.10000000149011612,-52.11844258857627,1.7419681672050877,0.000000,0.000000,0.000000,24.21108813649704,0.000000,0.000000,0.000000
-4.623598936567477,1.514893830726651,68.04249253695235,0.15000000223517418,-59.83991705289936,1.7074262468874912,0.000000,0.000000,0.000000,23.821914870190465,0.000000,0.000000,0.000000
-4.600090153602512,1.541605752245889,66.86804646242022,0.20000000298023224,-60.624489113941955,1.6807375394299016,0.000000,0.000000,0.000000,23.479405356981438,0.000000,0.000000,0.000000
-4.604133152787485,1.546197803521198,65.49196877025703,0.2500000037252903,-57.35761026395247,1.5899536771704579,0.000000,0.000000,0.000000,22.339691162175285,0.000000,0.000000,0.000000
-4.592362632904727,1.5491453822052645,64.03793336338651,0.30000000447034836,-52.84580437246195,1.5021638753314663,0.000000,0.000000,0.000000,21.0472950381652,0.000000,0.000000,0.000000
-4.584929352910168,1.5828179049535465,62.60453390275911,0.3500000052154064,-47.31063726992105,1.3933331745306605,0.000000,0.000000,0.000000,19.50897397152758,0.000000,0.000000,0.000000
-4.56302481914986,1.6272927183700574,61.17445417147247,0.4000000059604645,-42.832700322372524,1.303415176892489,0.000000,0.000000,0.000000,18.335441673786857,0.000000,0.000000,0.000000
-4.533939045451865,1.6527363908453192,59.77014956492894,0.45000000670552254,-38.53965317441512,1.207106157066621,0.000000,0.000000,0.000000,17.13692914684361,0.000000,0.000000,0.000000
-4.494582888118222,1.7058169591953696,58.437181222749615,0.5000000074505806,-33.90468972881719,1.0984826279702251,0.000000,0.000000,0.000000,15.70541287881291,0.000000,0.000000,0.000000
-4.455611233704813,1.758720299202591,57.15479526189392,0.5500000081956387,-30.19633559669893,1.001558730876488,0.000000,0.000000,0.000000,14.526991875888797,0.000000,0.000000,0.000000
