x,y,theta,v,delta,le,mse_le,mae_le,rmse_le,he,mse_he,mae_he,rmse_he
-4.6282000000000005,1.4780999999999997,68.99998892322901,0.05000000074505806,-8.236833099440352,1.725636681553555,0.000000,0.000000,0.000000,23.999988923229008,0.000000,0.000000,0.000000
-4.608308159323146,1.4868679018556334,68.94629071666058,0.10000000149011612,-13.694646048049233,1.7362701424002465,0.000000,0.000000,0.000000,24.126844248155113,0.000000,0.000000,0.000000
-4.6236157299312755,1.5149003428034593,68.80940702680053,0.15000000223517418,-17.253709276223262,1.7172220480634324,0.000000,0.000000,0.000000,23.967145506644396,0.000000,0.000000,0.000000
-4.600293657456387,1.5416860904339071,68.57315822325306,0.20000000298023224,-19.664570173103712,1.732393854099312,0.000000,0.000000,0.000000,24.246542910412632,0.000000,0.000000,0.000000
-4.604887398890071,1.5465037862549014,68.23113672513455,0.2500000037252903,-21.20680468689113,1.7045942887967342,0.000000,0.000000,0.000000,24.047542076118827,0.000000,0.000000,0.000000
-4.594215818604118,1.5499209742333706,67.78230025864951,0.30000000447034836,-22.163576358833883,1.6878135127577643,0.000000,0.000000,0.000000,23.796689195281854,0.000000,0.000000,0.000000
-4.588572014807648,1.584393589202964,67.23007436706517,0.3500000052154064,-22.668029961716346,1.6491924233930624,0.000000,0.000000,0.000000,23.27877588877523,0.000000,0.000000,0.000000
-4.5692259068508605,1.6300659147425172,66.57738757656722,0.4000000059604645,-22.933906831010557,1.6203085644075428,0.000000,0.000000,0.000000,23.01172731097195,0.000000,0.000000,0.000000
-4.543525504138914,1.6571698279028557,65.82863635168304,0.45000000670552254,-23.011691255196023,1.57714852042516,0.000000,0.000000,0.000000,22.627978008046252,0.000000,0.000000,0.000000
-4.508399484081578,1.7124244481689885,64.9919470683591,0.5000000074505806,-22.873127316387787,1.5152209414677063,0.000000,0.000000,0.000000,21.902880277354242,0.000000,0.000000,0.000000
-4.4744622018025595,1.7680368677949905,64.07399103774725,0.5500000081956387,-22.61442423938489,1.4515530794365075,0.000000,0.000000,0.000000,21.287286951548843,0.000000,0.000000,0.000000
-4.467715646470575,1.8073016357295297,63.082133997289645,0.6000000089406967,-22.253058992552265,1.38547454636819,0.000000,0.000000,0.000000,20.613259451580078,0.000000,0.000000,0.000000
-4.4427528799781975,1.8516010209948666,62.02314440383536,0.6500000096857548,-21.824218247185105,1.3332661055729924,0.000000,0.000000,0.000000,19.971613604949525,0.000000,0.000000,0.000000
-4.402860413539298,1.9138049373803139,61.106004128858004,0.7000000104308128,-17.752069525100982,1.263968793606389,0.000000,0.000000,0.000000,19.139730102459115,0.000000,0.000000,0.000000
-4.35373706829949,1.9826909999298048,60.06334037334641,0.7500000111758709,-18.67326237568971,1.2006420487703542,0.000000,0.000000,0.000000,18.50171653320709,0.000000,0.000000,0.000000
-4.334208894847567,2.0496843226613812,58.875762481669,0.800000011920929,-19.761865740444666,1.1269608983844306,0.000000,0.000000,0.000000,17.729218683719484,0.000000,0.000000,0.000000
-4.308257253864005,2.1288682038211215,57.56439122817251,0.850000012665987,-20.40146984845877,1.0715717840155747,0.000000,0.000000,0.000000,17.113946788820023,0.000000,0.000000,0.000000
-4.275267381372132,2.1823077587507176,56.14980396474973,0.9000000134110451,-20.686516620169357,1.012211850815638,0.000000,0.000000,0.000000,16.47321116450153,0.000000,0.000000,0.000000
-4.234935273198338,2.2627524707472855,54.67072884049364,0.9500000141561031,-20.449451204232062,0.9297687602676707,0.000000,0.000000,0.000000,15.362155141796874,0.000000,0.000000,0.000000
-4.188499195280161,2.340557487436104,53.14890867414802,1.0000000149011612,-19.974343086788455,0.8557200860011349,0.000000,0.000000,0.000000,14.46094934964427,0.000000,0.000000,0.000000
-4.1382254561944265,2.438777178250924,51.61158061144979,1.0500000156462193,-19.22921445842967,0.7768005134653211,0.000000,0.000000,0.000000,13.44398776571695,0.000000,0.000000,0.000000
-4.055121571621928,2.535978173173385,50.06560676860438,1.1000000163912773,-18.472772059515897,0.7109278431254064,0.000000,0.000000,0.000000,12.675010999463739,0.000000,0.000000,0.000000
-4.003411467694955,2.6017239708400743,48.513098998299625,1.1500000171363354,-17.756616932769898,0.6240584476121581,0.000000,0.000000,0.000000,11.55915951132535,0.000000,0.000000,0.000000
-3.9072298540816446,2.6808712989553913,46.95602808796887,1.2000000178813934,-17.077330085623785,0.5459794158035786,0.000000,0.000000,0.000000,10.370367480827305,0.000000,0.000000,0.000000
-3.806222720066211,2.75867091028025,45.55661240640415,1.2500000186264515,-14.820691828514308,0.44843856397463056,0.000000,0.000000,0.000000,8.86931010499952,0.000000,0.000000,0.000000
-3.7196971964072483,2.8395137428993773,44.316840175133756,1.3000000193715096,-12.682363842998493,0.360484727359632,0.000000,0.000000,0.000000,7.447803878203025,0.000000,0.000000,0.000000
-3.632183829509249,2.92643507344434,43.2068073864123,1.3500000201165676,-10.964493520684611,0.29812963011127613,0.000000,0.000000,0.000000,6.427711806304696,0.000000,0.000000,0.000000
-3.527684043846999,3.009160625781184,42.21906402359824,1.4000000208616257,-9.425643081800766,0.25024885622046206,0.000000,0.000000,0.000000,5.6526448188392875,0.000000,0.000000,0.000000
-3.409802694783277,3.11363601278784,41.30816378666192,1.4500000216066837,-8.397704637646314,0.19767186602313486,0.000000,0.000000,0.000000,4.709863563147439,0.000000,0.000000,0.000000
-3.2845830307527875,3.1997517764533883,40.44265503579089,1.5000000223517418,-7.712805700221974,0.16016865388096893,0.000000,0.000000,0.000000,4.0815612116575775,0.000000,0.000000,0.000000
-3.1636246905227887,3.2873547775709495,39.71291095388759,1.4903457454318012,-6.298948481986298,0.11055539783600618,0.000000,0.000000,0.000000,3.0198961566231635,0.000000,0.000000,0.000000
-3.055579009993404,3.3699791040071125,39.09869394923079,1.4403457446867431,-5.342162574037098,0.07396052465725707,0.000000,0.000000,0.000000,2.174533599284696,0.000000,0.000000,0.000000
-2.93549942534524,3.4432156775788627,38.78297254404312,1.390345743941685,-2.8472324818412886,0.049057490195723676,0.000000,0.000000,0.000000,1.5503671691071406,0.000000,0.000000,0.000000
-2.8344186172156633,3.5286030664830403,38.563957800107346,1.340345743196627,-2.0469586318227764,0.020944187223427942,0.000000,0.000000,0.000000,0.7171148534109361,0.000000,0.000000,0.000000
-2.7369152716144867,3.6307585921163192,38.40848642385614,1.290345742451569,-1.5075673244670622,0.018300741168762562,0.000000,0.000000,0.000000,0.6803595693852114,0.000000,0.000000,0.000000
-2.645003592551151,3.700823108628439,38.37594579773399,1.240345741706511,-0.3278373455182723,0.03359282197384901,0.000000,0.000000,0.000000,1.3732858026029966,0.000000,0.000000,0.000000
-2.541666171943004,3.7663260931366325,38.91940004414271,1.290345742451569,5.677262575770645,0.030663851116534368,0.000000,0.000000,0.000000,13.430121729765148,0.000000,0.000000,0.000000
-2.4305733403367813,3.8316890360434472,39.9114649484783,1.340345743196627,9.895303189058255,0.028901695437291337,0.000000,0.000000,0.000000,13.951919642855954,0.000000,0.000000,0.000000
-2.3230638918166746,3.9339860383635554,41.259984724580924,1.390345743941685,12.858941236563272,0.02790642654609596,0.000000,0.000000,0.000000,14.31866912293334,0.000000,0.000000,0.000000
-2.229948141076826,4.039076118111876,42.849884243590225,1.369227205270863,14.545141072022592,0.05827963398649287,0.000000,0.000000,0.000000,13.786441213468773,0.000000,0.000000,0.000000
-2.1279648868314385,4.1258945033193335,44.48068755063192,1.3192272045258049,15.122296359608313,0.0965812307092708,0.000000,0.000000,0.000000,12.713341916904154,0.000000,0.000000,0.000000
