x,y,theta,v,delta,le,mse_le,mae_le,rmse_le,he,mse_he,mae_he,rmse_he
-2.5052471825943665,4.117740102037543,40.877094406147236,1.3191095511078204,-6.2956274825898735,0.31114930868247515,0.000000,0.000000,0.000000,5.688304762260628,0.000000,0.000000,0.000000
-2.416907309697731,4.2174677212147325,40.54231791530102,1.3324725454438187,-3.295627482589873,0.31051916837991334,0.000000,0.000000,0.000000,6.454869433428737,0.000000,0.000000,0.000000
-2.3140492452970762,4.297779702126429,40.512016453770045,1.2824725446987606,-0.2956274825898729,0.32359184235880223,0.000000,0.000000,0.000000,6.704041903429492,0.000000,0.000000,0.000000
-2.1997467381914877,4.36949008195503,40.77900579357299,1.2324725439537025,2.7043725174101274,0.3174235879022286,0.000000,0.000000,0.000000,7.47062509029074,0.000000,0.000000,0.000000
-2.122119673770653,4.445188186048148,41.32160611561665,1.1824725432086445,5.704372517410127,0.3000681739303702,0.000000,0.000000,0.000000,8.60894719138334,0.000000,0.000000,0.000000
-2.020114189022905,4.534465065040208,42.11949867935118,1.1324725424635864,8.704372517410128,0.3104734937665777,0.000000,0.000000,0.000000,8.462199606448937,0.000000,0.000000,0.000000
-1.9193133053353515,4.624817630066345,43.153528488016384,1.1824725432086445,11.704372517410127,0.31379764867678817,0.098469,0.313798,0.313798,17.13901945762266,5.126835,17.139019,17.139019
-1.8354491414124015,4.720493505190499,44.52118895842379,1.2324725439537025,14.704372517410128,0.31538042949347844,0.098967,0.314589,0.314590,17.151033186934107,5.130430,17.145026,17.145027
-1.7503749345703303,4.800611150887856,46.255205178000494,1.2824725446987606,17.70437251741013,0.32750417127980025,0.101731,0.318894,0.318953,16.480744635187357,5.000478,16.923599,16.926497
-1.6587987003225562,4.904060402146001,48.34723672933526,1.3324725454438187,20.310448907158538,0.3207741907080671,0.102022,0.319364,0.319409,15.775909026450446,4.836299,16.636677,16.646307
-1.5608406331519686,4.985420934399626,50.4798001469453,1.3329206857480873,19.957574499712067,0.31564402866436453,0.101544,0.318620,0.318660,14.688270218463316,4.622133,16.246995,16.273558
-1.4899201959858661,5.095242473893561,52.481417376492445,1.2829206850030292,18.814995952799713,0.28071372211988566,0.097753,0.312302,0.312655,14.22562203376156,4.440443,15.910100,15.950506
-1.4173879267379128,5.1894980798435615,54.38895349749729,1.2329206842579712,18.642341087630545,0.03976603674337967,0.084015,0.273369,0.289853,12.83962122023315,4.217133,15.471460,15.544258
-1.343697455236626,5.272333115326841,56.05102964507588,1.1829206835129131,17.007285536985727,0.02734185407114937,0.073606,0.242615,0.271305,11.9566942379114,4.001888,15.032114,15.142367
-1.2699367396332981,5.3667605594431675,57.554709095153,1.132920682767855,16.088443049625894,0.031250716507092095,0.065536,0.219130,0.256000,11.71751073462978,3.823493,14.663825,14.801014
-1.1932562193209098,5.463768200795662,58.97220352770375,1.1829206835129131,15.848453536445325,0.03578785195491546,0.059111,0.200796,0.243127,11.57470309893062,3.674972,14.354913,14.510700
-1.1455821160350612,5.566534724674669,60.42777340755377,1.2329206842579712,15.599143588662866,0.04777905440494089,0.053944,0.186885,0.232260,11.098207522048822,3.536313,14.058849,14.234319
-1.0815349735107238,5.660066060502095,61.87854390546721,1.2829206850030292,14.948359736909735,0.03780112581758322,0.049568,0.174462,0.222639,9.904058166617704,3.384287,13.712616,13.924991
-1.0045655094193071,5.775713304182988,63.2375739571367,1.3329206857480873,13.514868376394473,0.052311641564861955,0.045966,0.165066,0.214396,9.2645818149196,3.239193,13.370460,13.623218
-0.9358451445363735,5.895827300604716,64.57589657834647,1.3829206864931454,12.833661217870407,0.07358293551088738,0.043069,0.158531,0.207531,8.973736030305576,3.108213,13.056408,13.344943
-0.8847742692908156,6.027726441610102,65.916560596658,1.3329206857480873,12.405223885124165,0.09181800719014764,0.040760,0.154084,0.201891,8.567316239732374,2.986403,12.757135,13.080836
-0.8475822279894379,6.14631572375122,67.1278753809728,1.2829206850030292,11.650695228092367,0.15531793581808984,0.039720,0.154161,0.199299,7.601161564034322,2.862778,12.434887,12.807228
-0.7947182144090258,6.265020778591269,68.15165346694378,1.2329206842579712,10.262888079004972,0.13284107825433886,0.038422,0.152907,0.196015,6.466827937041792,2.737314,12.083825,12.523440
-0.7332349274683053,6.36785704083461,69.02161303207967,1.1829206835129131,9.09572576454364,0.13089084766115275,0.037239,0.151684,0.192974,6.160209827334609,2.622037,11.754735,12.256902
-0.6942845026939745,6.494308183681845,69.75222118306561,1.2329206842579712,7.977250699822298,0.14760794331406368,0.036426,0.151469,0.190856,3.558228483643654,2.495665,11.323340,11.957888
-0.6623154990756167,6.605281388301273,70.22545488773049,1.2829206850030292,4.977250699822298,0.13861653818308525,0.035565,0.150826,0.188588,2.809847144342245,2.377772,10.897665,11.672030
-0.6254117418269944,6.742608223333046,70.59168449084106,1.3329206857480873,3.7058751202873292,0.13108656027849133,0.034690,0.149886,0.186252,2.2620309021777047,2.268797,10.486444,11.401426
-0.571419051206994,6.8529258955298875,70.88904916536436,1.3829206864931454,2.8977299903302147,0.12093641988239286,0.033778,0.148570,0.183788,1.717961651289254,2.168012,10.087877,11.145309
-0.5220424354646398,6.999896184112357,71.19007047240711,1.4329206872382034,2.827421678825908,0.13711697475570356,0.033127,0.148073,0.182008,1.9744264679601493,2.076708,9.735118,10.908099
-0.4758408099273639,7.125935510109154,71.49889427098788,1.3829206864931454,2.7995366312219354,0.13840311204623,0.032545,0.147670,0.180401,1.8042749151955455,1.992546,9.404667,10.684778
-0.42755756168040643,7.264580303275344,71.78300476458308,1.3329206857480873,2.6688188928708256,0.0965933045644743,0.031616,0.145627,0.177809,1.7634850124056582,1.915016,9.099019,10.474842
-0.3730882366456265,7.37669168860896,72.05180382191536,1.2829206850030292,2.6197749460336555,0.09686246080565292,0.030761,0.143751,0.175388,1.7343264012020254,1.843380,8.815762,10.277057
-0.33475414115112423,7.494340490870671,72.16123766277151,1.3329206857480873,1.10876873109447,0.11268955390259704,0.030092,0.142601,0.173470,0.1339471687784124,1.775118,8.494213,10.084979
-0.3138215315789181,7.633724191717057,72.1442266149519,1.3829206864931454,-0.1659085990168318,0.11278758714436399,0.029472,0.141536,0.171673,0.2452655127806686,1.711759,8.199608,9.903361
