x,y,theta,v,delta,le,mse_le,mae_le,rmse_le,he,mse_he,mae_he,rmse_he
-3.4170143723484236,3.118856094829404,41.32608391822984,1.4500000216066837,-7.9147828490188035,0.2049963654387262,0.000000,0.000000,0.000000,4.879587448123709,0.000000,0.000000,0.000000
-3.291824650214193,3.2050059201040426,40.49636539317179,1.5000000223517418,-7.397475693239489,0.1695529547897957,0.000000,0.000000,0.000000,4.316145025258919,0.000000,0.000000,0.000000
-3.17095757416001,3.2927158930585687,39.790134994069994,1.5500000230967999,-6.097539030437495,0.12121801558123817,0.000000,0.000000,0.000000,3.307399249005784,0.000000,0.000000,0.000000
-3.0584565451239194,3.3793123929894895,39.165962884673185,1.600000023841858,-5.220496959112052,0.08539807710261352,0.000000,0.000000,0.000000,2.507707874999588,0.000000,0.000000,0.000000
-2.926105372859805,3.4627634069519355,38.595932870195675,1.5500000230967999,-4.621445358359601,0.06023913890672501,0.000000,0.000000,0.000000,1.907420132850488,0.000000,0.000000,0.000000
-2.812262833809221,3.5577561468468137,38.17766409591873,1.5000000223517418,-3.5036868301180446,0.024899235572651914,0.000000,0.000000,0.000000,0.8625531151569471,0.000000,0.000000,0.000000
-2.7016481454420482,3.669071447298384,37.893846979718454,1.4500000216066837,-2.4582388298730056,0.017132762101387953,0.000000,0.000000,0.000000,0.6518927672407957,0.000000,0.000000,0.000000
-2.5964213866817802,3.748030514810981,37.644625147542136,1.4000000208616257,-2.2332709250041867,0.029578628985618697,0.000000,0.000000,0.000000,1.2550040059669,0.000000,0.000000,0.000000
-2.4794673987065963,3.8220372042225312,37.84421913601911,1.4500000216066837,1.8527266976478625,0.021957907209573583,0.000000,0.000000,0.000000,8.798509588838028,0.000000,0.000000,0.000000
-2.3542635426524834,3.895297125396804,38.40746083584163,1.4000000208616257,5.036738631083781,0.012891819854449281,0.000000,0.000000,0.000000,9.834070893484556,0.000000,0.000000,0.000000
-2.2398577816084733,3.9985721021308054,39.242649064191056,1.3500000201165676,7.708470800837978,0.0031411389142588157,0.000000,0.000000,0.000000,11.00591794990489,0.000000,0.000000,0.000000
-2.1467038153552127,4.097373909394232,40.57370795600612,1.3842895811481026,12.609980784050316,0.024410014853012012,0.000000,0.000000,0.000000,16.66280851799723,0.000000,0.000000,0.000000
-2.039957351513391,4.1811116658429155,42.27047367042674,1.3342895804030446,15.54174834534686,0.057049170826560094,0.000000,0.000000,0.000000,16.08172555488145,0.000000,0.000000,0.000000
-1.9244228818293052,4.259260155189108,44.11677021231482,1.2842895796579865,17.430118018447995,0.06635085949508718,0.000000,0.000000,0.000000,15.99642216358079,0.000000,0.000000,0.000000
-1.8479208334272526,4.343862501437103,46.057012464307135,1.2342895789129285,18.920618238957125,0.058423497978587355,0.003413,0.058423,0.058423,16.47647682709715,4.738120,16.476477,16.476477
-1.749068265431682,4.443935136381133,47.95357778110047,1.2842895796579865,19.220362454445453,0.07454820116753806,0.004485,0.066486,0.066973,17.82878635152281,5.142961,17.152632,17.165953
-1.6462552186123305,4.5537067937067395,49.99126266966229,1.2342895789129285,19.79855198000384,0.07652646477707123,0.004942,0.069833,0.070302,17.436973372035283,5.197520,17.247412,17.256766
-1.5693021959911078,4.663046761164986,51.98110206286845,1.1842895781678704,20.091582464643004,0.072242928903633,0.005012,0.070435,0.070792,17.15281929031002,5.181914,17.223764,17.230838
-1.4991592721311098,4.750045999684519,53.90873788768128,1.2200845532152826,20.26955229067242,0.07745751308868933,0.005209,0.071840,0.072174,16.302245303761726,5.073220,17.039460,17.049166
-1.4243873697029117,4.859438559298807,55.88363041247931,1.1700845524702246,20.16629110244767,0.07553311769109315,0.005292,0.072455,0.072745,15.801548494740024,4.953999,16.833142,16.847647
-1.3493601878752146,4.93810987396238,57.75825087859431,1.1200845517251665,19.976731441632296,0.06812716120180443,0.005199,0.071837,0.072103,14.725367558319894,4.786929,16.532031,16.561124
-1.303504492311002,5.039847146868933,59.511681008475485,1.0700845509801085,19.554431659487637,0.08632458261855655,0.005481,0.073648,0.074031,14.41325468039278,4.641785,16.267184,16.308118
-1.2548123946471723,5.124559822753131,61.14803461796868,1.0200845502350504,19.134743962151855,0.07433243216077329,0.005486,0.073724,0.074064,13.12912803165349,4.460308,15.918511,15.986146
-1.2036883924658508,5.19650590551861,62.64914419190131,0.9700845494899923,18.463392904193768,0.07930502271715299,0.005566,0.074282,0.074605,12.341331177819116,4.280106,15.560793,15.659885
-1.1514190111229035,5.27896976440561,64.02192501521249,0.9200845487449343,17.800750322731403,0.15903947668177004,0.007359,0.081987,0.085786,12.054402773907848,4.121561,15.242030,15.367110
-1.0952168072045347,5.363081844102072,65.26295354980395,0.9700845494899923,17.016079158446864,0.1640230568646935,0.008988,0.088824,0.094805,9.945489308195866,3.921961,14.800652,14.990390
-1.0679231912366738,5.452588590008648,66.48762062453318,0.9200845487449343,15.983673914107946,0.17657554883056722,0.010695,0.095574,0.103417,9.743498994584264,3.747728,14.411640,14.653635
-1.02801667575082,5.523257941607901,67.5790134602271,0.8784811656842889,15.063500882229908,0.16470051342953856,0.011869,0.100511,0.108943,8.633412520861123,3.572955,13.998910,14.307873
-0.9780106136869503,5.606965302047657,68.55590181723589,0.8284811649392309,14.160703780454757,0.1752773809392037,0.013126,0.105496,0.114567,8.30892557575517,3.415087,13.619577,13.988212
-0.9390218997649908,5.685178233619115,69.43450934693955,0.7784811641941728,13.529355603262267,0.19311357152186912,0.014636,0.110972,0.120979,8.45537483534929,3.279631,13.296815,13.707992
-0.9199755851352118,5.76506518928486,70.2354840274837,0.7652704345002125,13.140289089021142,0.2023225685885442,0.016183,0.116345,0.127212,8.44448453327839,3.159923,13.011384,13.455491
-0.9112975708555198,5.833984053175798,70.96187075990827,0.8152704352452705,12.153828607417056,0.18969299760630268,0.017283,0.120420,0.131465,5.081028457351355,3.009404,12.570808,13.131114
-0.8817036688297603,5.911551706577821,71.58635480472407,0.7652704345002125,9.859310871519993,0.17320700223119823,0.017952,0.123199,0.133986,4.054777242460348,2.866117,12.122596,12.814696
-0.8419306885042034,5.972560627526846,72.06726117964324,0.719844055063864,8.114682330055345,0.17560329270208797,0.018597,0.125819,0.136369,3.726365751843052,2.734929,11.702785,12.517983
